G,Date,Start (ET),,,Opponent,,,Tm,Opp,W,L,Streak,Notes
73,"Sat, Mar 23, 2019",7:30p,Box Score,@,Atlanta Hawks,L,,127,129,47,26,L 1,
74,"Mon, Mar 25, 2019",7:00p,Box Score,@,Orlando Magic,L,,98,119,47,27,L 2,
75,"Thu, Mar 28, 2019",7:00p,Box Score,,Brooklyn Nets,W,,123,110,48,27,W 1,
76,"Sat, Mar 30, 2019",8:00p,Box Score,@,Minnesota Timberwolves,W,,118,109,49,27,W 2,
77,"Mon, Apr 1, 2019",8:30p,Box Score,@,Dallas Mavericks,L,,102,122,49,28,L 1,
78,"Wed, Apr 3, 2019",7:30p,Box Score,@,Atlanta Hawks,L,,122,130,49,29,L 2,
79,"Thu, Apr 4, 2019",8:00p,Box Score,,Milwaukee Bucks,L,,122,128,49,30,L 3,
80,"Sat, Apr 6, 2019",8:00p,Box Score,@,Chicago Bulls,W,,116,96,50,30,W 1,
81,"Tue, Apr 9, 2019",7:30p,Box Score,@,Miami Heat,L,,99,122,50,31,L 1,
82,"Wed, Apr 10, 2019",8:00p,Box Score,,Chicago Bulls,W,,125,109,51,31,W 1,
